               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 138,            0.019153,            0.013271,          0.00012799,               0.338,             0.34255,             0.37709,             0.29331,            0.013796,            0.025079,          0.00084729,            0.000958,            0.000958,            0.000958
                 139,            0.019452,            0.013462,          0.00021246,             0.37176,             0.29851,             0.34887,             0.27326,             0.01386,            0.025304,          0.00067926,            0.000892,            0.000892,            0.000892
                 140,            0.019345,            0.013648,           0.0001534,             0.30122,             0.35057,             0.35465,             0.27825,            0.014224,             0.02556,          0.00092563,            0.000826,            0.000826,            0.000826
                 141,            0.018836,            0.013171,          0.00021648,             0.35715,             0.29104,              0.3489,             0.27223,            0.013919,            0.025676,           0.0006965,             0.00076,             0.00076,             0.00076
                 142,            0.019146,            0.014224,          0.00027793,              0.2612,              0.4806,             0.34981,             0.27466,            0.013846,            0.025173,          0.00069296,            0.000694,            0.000694,            0.000694
                 143,            0.018599,            0.013244,          0.00013382,             0.25769,             0.46567,             0.33543,             0.26776,            0.013688,            0.025361,          0.00080808,            0.000628,            0.000628,            0.000628
                 144,            0.018951,            0.013087,          0.00013139,             0.26281,             0.46567,             0.34478,             0.26766,            0.013921,            0.025625,          0.00077676,            0.000562,            0.000562,            0.000562
                 145,            0.018763,             0.01288,          0.00012689,             0.26072,             0.47128,             0.34966,             0.26681,            0.013874,            0.025536,          0.00077319,            0.000496,            0.000496,            0.000496
                 146,            0.018327,            0.013397,          0.00019272,             0.25828,             0.47892,             0.34734,              0.2644,            0.013783,            0.025766,           0.0007204,             0.00043,             0.00043,             0.00043
                 147,            0.018606,            0.013541,          0.00014063,             0.25448,             0.49552,              0.3539,             0.27047,            0.013724,            0.025762,          0.00066219,            0.000364,            0.000364,            0.000364
                 148,            0.018681,            0.013436,          0.00017482,              0.3402,             0.30188,             0.34353,             0.26636,            0.013914,            0.025858,          0.00070711,            0.000298,            0.000298,            0.000298
                 149,            0.018304,            0.012974,          0.00011685,             0.25083,              0.4806,             0.33333,              0.2647,            0.013858,            0.025831,          0.00071472,            0.000232,            0.000232,            0.000232
